LastName,Postcode,IsDogOwner,Breed_Type
Aarons,3021,0,
Acedo,3090,1,Boxer
Adenet,3103,1,Bullterrier Staffordshire
Akaster,3041,1,Dingo
Aleksahkin,3099,1,Hound Ibizan
Aleshintsev,3062,1,Retriever Chesapeake
Alesi,3031,1,Samoyed
Ambrogelli,3040,1,Springer English
Amies,3091,1,Terrier Irish
Amoore,3105,0,Terrier Russell
Amori,3068,0,Whippet
Amsberger,3088,0,
Amyes,3059,0,
Annon,3064,0,
Anstiss,3063,1,Boxer
Archbald,3108,0,Bullterrier Staffordshire
Arens,3038,1,Dingo
Arnoll,3111,1,Hound Ibizan
Ashwell,3097,0,Retriever Chesapeake
Ashwood,3026,1,Samoyed
Ault,3023,1,Springer English
Autie,3067,1,Terrier Irish
Ayre,3066,0,
Backen,3086,0,
Backshall,3109,1,Boxer
Bagniuk,3095,0,Bullterrier Staffordshire
Baldinotti,3030,1,Dingo
Ballchin,3015,0,Hound Ibizan
Bampforth,3056,0,Retriever Chesapeake
Barribal,3045,0,Samoyed
Bartos,3033,1,Springer English
Bartrop,3081,0,Terrier Irish
Basil,3085,1,Boxer
Battelle,3046,0,Bullterrier Staffordshire
Baxstar,3083,0,Dingo
Baynom,3048,1,Hound Ibizan
Bearne,3029,1,Retriever Chesapeake
Beavan,3003,1,Samoyed
Begley,3052,1,Springer English
Benezeit,3012,0,Terrier Irish
Berndtssen,3011,1,Boxer
Biasioli,3093,0,Bullterrier Staffordshire
Blackborn,3005,1,Dingo
Blackstone,3102,1,Hound Ibizan
Blencowe,3044,0,Retriever Chesapeake
Bodicum,3053,0,Samoyed
Boissier,3078,0,Springer English
Bolens,3061,1,Terrier Irish
Bome,3024,0,
Boncore,3032,0,
Bonde,3022,1,Boxer
Boutellier,3047,0,Bullterrier Staffordshire
Bovis,3049,1,Dingo
Bowfin,3050,1,Hound Ibizan
Bowmer,3094,0,Retriever Chesapeake
Brandacci,3070,1,Samoyed
Bransden,3055,0,Springer English
Bratley,3036,0,Terrier Irish
Brognot,3060,0,
Broster,3010,1,Boxer
Brownsmith,3043,0,Bullterrier Staffordshire
Brushneen,3073,0,Dingo
Bubb,3072,1,Hound Ibizan
Bubear,3004,1,Retriever Chesapeake
Burfitt,3104,1,Samoyed
Buscombe,3018,0,Springer English
Bussen,3057,1,Terrier Irish
Bydaway,3101,1,Boxer
Caldairou,3071,1,Bullterrier Staffordshire
Callen,3037,1,Dingo
Caraher,3051,1,Hound Ibizan
Carlsen,3076,1,Retriever Chesapeake
Carmel,3096,0,Samoyed
Carwithan,3106,1,Springer English
Cashin,3013,0,Terrier Irish
Casol,3084,1,Boxer
Castellucci,3087,1,Bullterrier Staffordshire
Castillou,3079,1,Dingo
Caulcott,3016,1,Hound Ibizan
Causbey,3019,1,Retriever Chesapeake
Challice,3042,1,Samoyed
Chattell,3054,1,Springer English
Checchi,3065,0,Terrier Irish
Chitter,3006,0,
Christer,3113,0,
Christofle,3025,1,Boxer
Clausner,3058,1,Bullterrier Staffordshire
Claussen,3089,1,Dingo
Clementi,3074,1,Hound Ibizan
Clemitt,3027,1,Retriever Chesapeake
Clewes,3075,1,Samoyed
Clibbery,3034,1,Springer English
Clutheram,3028,1,Terrier Irish
Collison,3039,1,Boxer
Compston,3008,1,Bullterrier Staffordshire
Conaghy,3020,1,Dingo
Coutthart,3082,0,Hound Ibizan
Cowwell,3107,1,Retriever Chesapeake
Creer,3000,0,Samoyed
Cregan,3021,1,Springer English
Crilley,3090,1,Terrier Irish
Crippin,3103,1,Boxer
Crockett,3041,0,Bullterrier Staffordshire
Croydon,3099,0,Dingo
Crummie,3062,0,Hound Ibizan
Culwen,3031,1,Retriever Chesapeake
Cumo,3040,1,Samoyed
Cuschieri,3091,0,Springer English
Dacre,3105,0,Terrier Irish
Daniele,3068,0,
Daulton,3088,1,Boxer
Dawes,3059,0,Bullterrier Staffordshire
De Blasi,3064,0,Dingo
De la Yglesia,3063,1,Hound Ibizan
Delamar,3108,0,Retriever Chesapeake
Denholm,3038,0,Samoyed
Dewitt,3111,0,Springer English
Di Domenico,3097,0,Terrier Irish
Dillinton,3026,1,Boxer
Dinkin,3023,0,Bullterrier Staffordshire
Diplock,3067,1,Dingo
Dobrowolski,3066,0,Hound Ibizan
Dodshon,3086,1,Retriever Chesapeake
Domanek,3109,1,Samoyed
Doore,3095,0,Springer English
Dornin,3030,0,Terrier Irish
Dowell,3015,1,Boxer
Downham,3056,1,Bullterrier Staffordshire
Downie,3045,0,Dingo
Drain,3033,0,Hound Ibizan
Driver,3081,0,Retriever Chesapeake
Ducaen,3085,1,Samoyed
Duffield,3046,0,Springer English
